id;reputation;expert;questions;countQuestionsAnswered;avgQuestionsDownVote;stdQuestionsDownVote;varQuestionsDownVote;minQuestionsDownVote;maxQuestionsDownVote;sumQuestionsDownVote;avgQuestionsUpVote;stdQuestionsUpVote;varQuestionsUpVote;minQuestionsUpVote;maxQuestionsUpVote;sumQuestionsUpVote;avgQuestionsViewCount;stdQuestionsViewCount;varQuestionsViewCount;minQuestionsViewCount;maxQuestionsViewCount;sumQuestionsViewCount;avgQuestionsScore;stdQuestionsScore;varQuestionsScore;minQuestionsScore;maxQuestionsScore;sumQuestionsScore;avgQuestionsAnswerCount;stdQuestionsAnswerCount;varQuestionsAnswerCount;minQuestionsAnswerCount;maxQuestionsAnswerCount;sumQuestionsAnswerCount;minQuestionsCreationDate;maxQuestionsCreationDate;minQuestionsLastActivityDate;maxQuestionsLastActivityDate;avgQuestionsTitleChar;stdQuestionsTitleChar;varQuestionsTitleChar;minQuestionsTitleChar;maxQuestionsTitleChar;sumQuestionsTitleChar;avgQuestionsBodyChar;stdQuestionsBodyChar;varQuestionsBodyChar;minQuestionsBodyChar;maxQuestionsBodyChar;sumQuestionsBodyChar;avgAnswersDownVote;stdAnswersDownVote;varAnswersDownVote;minAnswersDownVote;maxAnswersDownVote;sumAnswersDownVote;avgAnswersUpVote;stdAnswersUpVote;varAnswersUpVote;minAnswersUpVote;maxAnswersUpVote;sumAnswersUpVote;avgAnswersScore;stdAnswersScore;varAnswersScore;minAnswersScore;maxAnswersScore;sumAnswersScore;minAnswersCreationDate;maxAnswersCreationDate;minAnswersLastActivityDate;maxAnswersLastActivityDate;avgAnswersBodyChar;stdAnswersBodyChar;varAnswersBodyChar;minAnswersBodyChar;maxAnswersBodyChar;sumAnswersBodyChar;answers;countAnswersAccepted;question_comments;avgQuestionCommentScore;stdQuestionCommentScore;varQuestionCommentScore;minQuestionCommentScore;maxQuestionCommentScore;sumQuestionCommentScore;minQuestionCommentCreationDate;maxQuestionCommentCreationDate;avgQuestionCommentBodyChar;stdQuestionCommentBodyChar;varQuestionCommentBodyChar;minQuestionCommentBodyChar;maxQuestionCommentBodyChar;sumQuestionCommentBodyChar;answer_comments;avgAnswerCommentScore;stdAnswerCommentScore;varAnswerCommentScore;minAnswerCommentScore;maxAnswerCommentScore;sumAnswerCommentScore;minAnswerCommentCreationDate;maxAnswerCommentCreationDate;avgAnswerCommentBodyChar;stdAnswerCommentBodyChar;varAnswerCommentBodyChar;minAnswerCommentBodyChar;maxAnswerCommentBodyChar;sumAnswerCommentBodyChar
5144;31001;yes;1;1;0.0000;0;0;0;0;0;9.0000;0;0;9;9;9;342.0000;0;0;342;342;342;9.0000;0;0;9;9;9;2.0000;0;0;2;2;2;2014-11-06 15:12:43;2014-11-06 15:12:43;2014-11-08 01:30:45;2014-11-08 01:30:45;34.0000;0;0;34;34;34;435.0000;0;0;435;435;435;0.0332;0.19871456852894848;0.03948747974564616;0;2;18;4.8210;6.281179088403267;39.45321074059449;0;76;2613;4.7878;6.261314427480206;39.204058359771786;0;76;2595;2013-12-11 08:20:02;2016-05-03 07:43:47;2013-12-11 08:20:02;2016-05-03 07:43:47;1365.3579;778.1936631832773;605585.377418608;215;5318;740024;542;322;941;0.7131;1.1573951222008447;1.339563468894308;0;10;671;2013-12-11 08:22:15;2016-05-03 10:20:06;149.4899;107.96442891448274;11656.317910830396;15;611;140670;679;0.4860;0.8980563892498235;0.8065052782724303;0;6;330;2013-12-12 06:43:41;2016-05-03 15:09:43;159.9264;122.13686713025287;14917.414312393044;16;624;108590
9943;26721;yes;15;14;0.3333;0.5962847939999439;0.35555555555555557;0;2;5;7.8000;3.8505410875183066;14.826666666666664;4;15;117;643.8000;829.9449941612597;688808.6933333334;31;2695;9657;7.4667;3.556527644893104;12.648888888888887;4;14;112;1.2000;0.6531972647421809;0.4266666666666667;0;3;18;2014-11-01 09:32:16;2016-02-18 10:10:53;2014-12-23 03:38:04;2016-03-03 20:32:10;50.8667;14.709936173288522;216.38222222222217;30;78;763;1337.6000;560.5925198692302;314263.97333333327;346;2266;20064;0.0526;0.23291084293599565;0.05424746075715603;0;2;24;5.3575;7.444345353307062;55.41827773930445;0;53;2443;5.3048;7.4428567818065945;55.39611707448442;0;53;2419;2014-10-27 01:05:08;2016-05-03 19:33:12;2014-10-27 01:27:42;2016-05-03 19:42:59;2254.9890;1361.170090484891;1852784.0152306466;73;8728;1028275;456;226;986;0.5801;1.032027871120892;1.0650815267703204;0;11;572;2014-10-30 12:13:20;2016-05-03 17:13:00;176.3945;124.53105354319474;15507.983296578035;15;755;173925;817;0.4284;0.8920025464382886;0.7956685428523912;0;13;350;2014-10-28 09:51:32;2016-05-03 18:21:59;153.4884;126.35522452850364;15965.642765648567;15;624;125400
3340;23153;yes;13;12;0.5385;0.9294650748918901;0.863905325443787;0;3;7;7.6154;10.557814907512908;111.4674556213018;1;43;99;673.6923;1135.4218046859119;1289182.674556213;78;4497;8758;7.0769;9.840743705959959;96.84023668639053;0;40;92;1.3846;1.146128032750103;1.3136094674556213;0;5;18;2013-04-05 11:31:21;2015-06-26 08:53:22;2013-04-11 05:50:41;2016-03-15 16:47:36;41.8462;13.363821159246758;178.59171597633136;22;69;544;1466.7692;759.7786270553927;577263.5621301775;533;3118;19068;0.0158;0.13677637170245413;0.018707775856087894;0;2;10;3.0411;4.094255226559013;16.762925860205797;0;73;1925;3.0253;4.03100063951826;16.248966155796627;-1;71;1915;2013-04-05 09:57:31;2016-05-02 02:39:35;2013-04-05 11:55:51;2016-05-02 03:47:47;1292.1722;888.8460650633436;790047.3273785898;118;6085;817945;633;275;1851;0.5646;1.0235041967229928;1.0475608407095787;0;14;1045;2013-04-08 09:51:12;2016-05-02 16:15:57;190.7002;134.66778578537927;18135.412528336798;15;827;352986;973;0.4111;0.8575642047042524;0.735416365190037;0;8;400;2013-04-05 11:37:58;2016-05-03 11:38:36;200.3299;137.87948883950443;19010.753442643025;15;664;194921
4108;22909;yes;173;147;0.0347;0.21222612428538518;0.045039927829195754;0;2;6;3.5318;2.5021091039877152;6.260549968258207;0;14;611;231.9249;457.2825237115795;209107.30649203126;9;4600;40123;3.4971;2.488410773704688;6.1921881786895625;0;14;605;1.0809;0.6578430862638981;0.4327575261452104;0;3;187;2013-07-25 17:57:32;2016-04-25 18:40:08;2013-07-29 01:37:37;2016-04-29 09:26:38;53.0578;18.404482672938272;338.72498245848504;19;107;9179;1135.5896;721.1513669097425;520059.29399579007;193;3967;196457;0.1055;0.5616912705454703;0.31549708340698474;0;9;42;4.4824;6.976157688263137;48.66677609151287;0;87;1784;4.3769;6.689725741327473;44.752430494179414;-1;78;1742;2013-07-26 07:35:19;2016-05-03 22:30:56;2013-10-16 03:05:44;2016-05-03 22:30:56;2462.9874;1632.6698245890325;2665610.756123582;219;11101;980269;398;176;946;0.5307;0.957672364084828;0.9171363569318235;0;8;502;2013-07-27 18:49:43;2016-05-02 19:01:35;259.7474;152.25126187486129;23180.44674248759;17;817;245721;630;0.3302;0.7230084678937075;0.5227412446460064;0;5;208;2013-07-30 03:37:01;2016-04-27 13:35:23;262.3667;162.39158190317596;26371.025873015904;15;738;165291
3632;22684;yes;22;21;0.1364;0.3431742925123068;0.11776859504132231;0;1;3;4.9091;2.7120788891229632;7.355371900826447;1;12;108;1150.3182;3021.4342077046135;9129064.671487605;60;14418;25307;4.7727;2.678734745119558;7.175619834710744;1;12;105;1.5909;1.0295228775369203;1.0599173553719003;0;5;35;2011-12-14 20:39:06;2015-04-23 10:11:27;2012-03-01 21:58:56;2015-09-11 10:05:28;53.1818;19.93087226945894;397.23966942148746;17;92;1170;625.5909;339.6758694417249;115379.69628099175;130;1355;13763;0.0945;0.3777791195349785;0.14271706315662358;0;3;43;4.0747;4.470036836551841;19.98122932013039;0;56;1854;3.9802;4.4610209194762085;19.90070764400436;-1;56;1811;2011-12-14 20:40:35;2016-04-19 00:50:19;2011-12-14 20:40:35;2016-04-19 00:50:19;1730.2571;1160.877582886748;1347636.7624489786;128;7281;787267;455;185;413;0.4746;0.8815887194904588;0.7771986703328269;0;8;196;2011-12-15 18:53:39;2016-04-19 00:51:13;193.5278;121.8337982919847;14843.474406252017;15;632;79927;539;0.3117;0.7676632055133326;0.589306797099005;0;11;168;2011-12-15 18:50:04;2016-04-12 01:48:12;212.9165;148.20669042058267;21965.223085422433;15;634;114762
1320;17240;yes;0;0;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;0.0179;0.15065653682888128;0.02269739208927206;0;2;7;3.6266;2.9084423266000585;8.459036767158763;0;22;1418;3.6087;2.911802613907683;8.478594462359615;0;22;1411;2012-08-27 08:58:10;2014-09-25 14:05:08;2012-08-27 08:58:10;2015-03-19 16:20:25;1243.9565;914.0666479991053;835517.8369843202;147;6854;486387;391;205;255;0.7647;1.137390120426509;1.2936562860438288;0;7;195;2012-09-07 08:59:11;2014-09-25 15:20:49;211.7529;137.45740781033857;18894.538961937724;16;691;53997;235;0.6128;1.0910890560365856;1.1904753282028075;0;7;144;2012-09-01 12:41:38;2014-09-22 13:04:54;222.4255;149.8378051719913;22451.367858759626;18;639;52270
5198;12148;yes;1;1;1.0000;0;0;1;1;1;12.0000;0;0;12;12;12;256.0000;0;0;256;256;256;11.0000;0;0;11;11;11;1.0000;0;0;1;1;1;2015-04-13 22:48:04;2015-04-13 22:48:04;2015-04-14 23:49:52;2015-04-14 23:49:52;68.0000;0;0;68;68;68;879.0000;0;0;879;879;879;0.0957;0.37941105457605767;0.1439527483345162;0;3;20;4.9856;5.017174779154969;25.17204276458871;0;49;1042;4.8900;5.0397790353331375;25.399372724983408;-1;49;1022;2014-08-07 02:09:51;2016-05-03 18:42:40;2014-08-07 02:09:51;2016-05-03 18:42:40;2235.8086;1465.127749454796;2146599.3222224754;229;8400;467284;209;106;321;0.8442;1.6023851361735735;2.567638124630002;0;18;271;2014-09-13 16:35:23;2016-05-03 15:47:45;233.6449;152.47306604517763;23248.0358692171;17;638;75000;307;0.5765;1.0064145085791705;1.0128701630786532;0;10;177;2013-12-18 22:46:01;2016-05-03 15:52:17;248.9218;172.49810577044758;29755.596494392525;18;657;76419
1590;11513;yes;56;40;0.0357;0.18557687223952257;0.034438775510204085;0;1;2;4.1786;3.174154234129277;10.075255102040817;0;17;234;544.5179;1437.4162707425457;2066165.5353954076;34;8419;30493;4.1429;3.1306581429730183;9.801020408163266;0;17;232;1.1071;0.9761178834797464;0.9528061224489797;0;4;62;2012-12-31 08:51:24;2015-07-16 12:49:46;2013-03-07 16:36:46;2016-04-28 21:04:16;50.8214;17.532731780115427;307.3966836734694;17;102;2846;1015.7857;569.6514822454952;324502.81122448976;194;3444;56884;0.0267;0.1611072796479276;0.025955555555555544;0;1;4;5.7467;6.325806053162097;40.015822222222226;0;48;862;5.7200;6.3299499734726705;40.068266666666666;-1;48;858;2012-10-29 07:11:34;2016-04-19 11:31:07;2012-10-30 21:14:42;2016-04-20 09:36:14;2798.3933;1888.048678386115;3564727.8119555553;388;10317;419759;150;87;567;0.7937;1.4685756833295724;2.156714537666921;0;17;450;2012-11-07 11:48:24;2016-05-01 03:27:33;212.9577;153.76695635912424;23644.27686794882;15;1057;120747;355;0.3634;0.7432777496550766;0.5524618131323148;0;5;129;2012-10-31 13:42:41;2016-04-19 16:57:40;215.0592;167.14770189019396;27938.354247173153;15;780;76346
3624;10502;yes;1;1;0.0000;0;0;0;0;0;5.0000;0;0;5;5;5;84.0000;0;0;84;84;84;5.0000;0;0;5;5;5;1.0000;0;0;1;1;1;2013-05-27 12:34:22;2013-05-27 12:34:22;2014-11-25 08:25:58;2014-11-25 08:25:58;96.0000;0;0;96;96;96;460.0000;0;0;460;460;460;0.0265;0.1604841363820434;0.025755158030290305;0;1;5;4.7302;5.0965483159398675;25.9748047367095;0;53;894;4.7037;5.097674232321555;25.98628257887516;0;53;889;2013-05-27 07:44:38;2016-04-27 11:12:00;2013-05-27 07:44:38;2016-04-27 11:31:51;2133.9365;1485.5269338187818;2206790.2711010315;221;7334;403314;189;92;527;0.6850;1.1637402689484548;1.3542914135722222;0;8;361;2013-05-28 17:07:32;2016-04-27 11:23:05;256.6641;154.54727636010514;23884.860630326715;21;685;135262;304;0.5362;0.9276490759828013;0.8605328081717452;0;8;163;2013-05-27 15:00:21;2016-04-27 11:33:18;264.5362;174.57361215007253;30475.946059123955;21;770;80419
1306;9339;yes;12;11;0.0000;0;0;0;0;0;10.0000;8.04155872120988;64.66666666666667;2;30;120;7686.5000;17180.613354883462;295173475.25;74;63221;92238;10.0000;8.04155872120988;64.66666666666667;2;30;120;1.7500;1.3616778865306827;1.8541666666666667;0;5;21;2012-08-26 12:52:00;2014-02-06 21:04:43;2012-11-02 05:33:27;2016-03-20 10:48:00;49.5000;19.002192855913584;361.08333333333326;20;90;594;888.4167;295.68690037868697;87430.74305555556;202;1329;10661;0.0705;0.4401657538487922;0.19374589086127553;0;5;11;4.8397;4.8430452314366175;23.45508711374096;0;31;755;4.7692;4.644884357046503;21.574950690335307;0;27;744;2012-08-25 09:41:10;2016-03-28 12:27:47;2012-08-26 13:24:49;2016-04-19 05:22:01;1810.1282;1604.500735982559;2574422.6117685735;172;12087;282380;156;67;436;0.8693;1.3285400736823298;1.7650187273798503;0;9;379;2012-08-26 15:00:52;2016-04-06 05:42:55;229.9885;145.75427781548998;21244.309501515032;19;735;100275;300;0.4733;0.967447960127859;0.9359555555555557;0;7;142;2012-08-26 12:29:05;2016-04-13 11:01:17;264.1367;166.6826065377615;27783.09132222221;15;705;79241
