"monthId";"answerComments";"users";"answerCommentByUser";"expert"
"0";"1";"1";"1,0000";"1"
"1";"1";"1";"1,0000";"1"
"6";"117";"35";"3,3429";"1"
"7";"231";"53";"4,3585";"1"
"8";"186";"40";"4,6500";"1"
"9";"178";"50";"3,5600";"1"
"10";"208";"55";"3,7818";"1"
"11";"208";"42";"4,9524";"1"
"12";"203";"46";"4,4130";"1"
"13";"181";"44";"4,1136";"1"
"14";"182";"45";"4,0444";"1"
"15";"233";"55";"4,2364";"1"
"16";"205";"44";"4,6591";"1"
"17";"162";"41";"3,9512";"1"
"18";"165";"41";"4,0244";"1"
"19";"124";"35";"3,5429";"1"
"20";"237";"52";"4,5577";"1"
"21";"102";"35";"2,9143";"1"
"22";"180";"41";"4,3902";"1"
"23";"209";"43";"4,8605";"1"
"24";"167";"42";"3,9762";"1"
"25";"192";"43";"4,4651";"1"
"26";"259";"57";"4,5439";"1"
"27";"216";"47";"4,5957";"1"
"28";"218";"42";"5,1905";"1"
"29";"214";"51";"4,1961";"1"
"30";"236";"48";"4,9167";"1"
"31";"262";"45";"5,8222";"1"
"32";"277";"49";"5,6531";"1"
"33";"328";"58";"5,6552";"1"
"34";"389";"63";"6,1746";"1"
"35";"320";"60";"5,3333";"1"
"36";"294";"59";"4,9831";"1"
"37";"327";"70";"4,6714";"1"
"38";"434";"82";"5,2927";"1"
"39";"435";"77";"5,6494";"1"
"40";"358";"63";"5,6825";"1"
"41";"465";"85";"5,4706";"1"
"42";"425";"71";"5,9859";"1"
"43";"700";"76";"9,2105";"1"
"44";"480";"75";"6,4000";"1"
"45";"497";"75";"6,6267";"1"
"46";"501";"87";"5,7586";"1"
"47";"490";"84";"5,8333";"1"
"48";"728";"109";"6,6789";"1"
"49";"487";"92";"5,2935";"1"
"50";"356";"71";"5,0141";"1"
"51";"410";"94";"4,3617";"1"
"52";"372";"65";"5,7231";"1"
"53";"430";"87";"4,9425";"1"
"54";"376";"68";"5,5294";"1"
"55";"421";"70";"6,0143";"1"
"56";"396";"72";"5,5000";"1"
"57";"374";"68";"5,5000";"1"
"58";"362";"84";"4,3095";"1"
"59";"116";"32";"3,6250";"1"
"1";"1";"1";"1,0000";"0"
"6";"13";"8";"1,6250";"0"
"7";"26";"15";"1,7333";"0"
"8";"22";"15";"1,4667";"0"
"9";"16";"12";"1,3333";"0"
"10";"35";"16";"2,1875";"0"
"11";"25";"15";"1,6667";"0"
"12";"49";"25";"1,9600";"0"
"13";"15";"11";"1,3636";"0"
"14";"20";"12";"1,6667";"0"
"15";"40";"24";"1,6667";"0"
"16";"33";"15";"2,2000";"0"
"17";"32";"20";"1,6000";"0"
"18";"30";"22";"1,3636";"0"
"19";"41";"30";"1,3667";"0"
"20";"46";"29";"1,5862";"0"
"21";"23";"15";"1,5333";"0"
"22";"29";"22";"1,3182";"0"
"23";"55";"32";"1,7188";"0"
"24";"56";"35";"1,6000";"0"
"25";"79";"43";"1,8372";"0"
"26";"53";"29";"1,8276";"0"
"27";"68";"40";"1,7000";"0"
"28";"55";"31";"1,7742";"0"
"29";"41";"25";"1,6400";"0"
"30";"47";"30";"1,5667";"0"
"31";"67";"40";"1,6750";"0"
"32";"102";"51";"2,0000";"0"
"33";"102";"61";"1,6721";"0"
"34";"101";"62";"1,6290";"0"
"35";"112";"66";"1,6970";"0"
"36";"93";"61";"1,5246";"0"
"37";"118";"66";"1,7879";"0"
"38";"155";"97";"1,5979";"0"
"39";"165";"98";"1,6837";"0"
"40";"103";"73";"1,4110";"0"
"41";"131";"84";"1,5595";"0"
"42";"130";"71";"1,8310";"0"
"43";"134";"74";"1,8108";"0"
"44";"137";"71";"1,9296";"0"
"45";"125";"70";"1,7857";"0"
"46";"140";"71";"1,9718";"0"
"47";"157";"72";"2,1806";"0"
"48";"136";"77";"1,7662";"0"
"49";"154";"86";"1,7907";"0"
"50";"128";"79";"1,6203";"0"
"51";"144";"85";"1,6941";"0"
"52";"153";"82";"1,8659";"0"
"53";"182";"106";"1,7170";"0"
"54";"97";"60";"1,6167";"0"
"55";"129";"66";"1,9545";"0"
"56";"162";"90";"1,8000";"0"
"57";"180";"101";"1,7822";"0"
"58";"216";"96";"2,2500";"0"
"59";"58";"27";"2,1481";"0"
