"monthId";"avgUpVote";"avgDownVote";"answers";"users";"answerByUser";"expert"
"1";"28,0000";"0,0000";"1";"1";"1,0000";"1"
"6";"11,7857";"0,1429";"140";"43";"3,2558";"1"
"7";"11,2637";"0,2040";"201";"47";"4,2766";"1"
"8";"8,4563";"0,1188";"160";"40";"4,0000";"1"
"9";"7,5276";"0,0920";"163";"49";"3,3265";"1"
"10";"7,0526";"0,2237";"152";"50";"3,0400";"1"
"11";"7,0680";"0,1156";"147";"41";"3,5854";"1"
"12";"6,0000";"0,1258";"151";"41";"3,6829";"1"
"13";"6,6168";"0,0374";"107";"36";"2,9722";"1"
"14";"6,1102";"0,1102";"127";"44";"2,8864";"1"
"15";"4,4195";"0,0345";"174";"36";"4,8333";"1"
"16";"4,6849";"0,0685";"146";"36";"4,0556";"1"
"17";"4,6454";"0,0922";"141";"38";"3,7105";"1"
"18";"4,7222";"0,1111";"90";"27";"3,3333";"1"
"19";"3,8271";"0,1053";"133";"45";"2,9556";"1"
"20";"4,4615";"0,0533";"169";"51";"3,3137";"1"
"21";"3,4953";"0,0467";"107";"34";"3,1471";"1"
"22";"3,8411";"0,0331";"151";"38";"3,9737";"1"
"23";"3,2330";"0,0455";"176";"42";"4,1905";"1"
"24";"3,2333";"0,0800";"150";"44";"3,4091";"1"
"25";"4,3376";"0,0510";"157";"40";"3,9250";"1"
"26";"3,8190";"0,0271";"221";"41";"5,3902";"1"
"27";"3,1294";"0,0498";"201";"40";"5,0250";"1"
"28";"3,4794";"0,0361";"194";"35";"5,5429";"1"
"29";"2,8125";"0,0469";"192";"44";"4,3636";"1"
"30";"3,6193";"0,0511";"176";"47";"3,7447";"1"
"31";"3,1520";"0,0819";"171";"37";"4,6216";"1"
"32";"2,3817";"0,0290";"241";"49";"4,9184";"1"
"33";"2,9506";"0,0206";"243";"46";"5,2826";"1"
"34";"2,9333";"0,0433";"300";"55";"5,4545";"1"
"35";"3,4247";"0,0702";"299";"48";"6,2292";"1"
"36";"3,3826";"0,0795";"264";"49";"5,3878";"1"
"37";"4,3532";"0,0754";"252";"59";"4,2712";"1"
"38";"3,9253";"0,0696";"388";"60";"6,4667";"1"
"39";"5,6773";"0,0543";"313";"62";"5,0484";"1"
"40";"3,6778";"0,0815";"270";"53";"5,0943";"1"
"41";"3,4886";"0,0684";"307";"55";"5,5818";"1"
"42";"3,5148";"0,1183";"338";"51";"6,6275";"1"
"43";"4,6550";"0,1438";"313";"61";"5,1311";"1"
"44";"3,8443";"0,1557";"289";"67";"4,3134";"1"
"45";"3,9828";"0,0928";"291";"58";"5,0172";"1"
"46";"3,4371";"0,0886";"350";"69";"5,0725";"1"
"47";"3,7354";"0,0467";"257";"62";"4,1452";"1"
"48";"4,1429";"0,1355";"406";"80";"5,0750";"1"
"49";"4,1731";"0,1131";"283";"80";"3,5375";"1"
