"bestAnswer";"ex";"reputation"
"41";"1";"6781"
"2";"1";"852"
"11";"1";"1920"
"1";"0";"176"
"1";"1";"508"
"6";"1";"1720"
"26";"1";"5081"
"1";"1";"869"
"4";"1";"875"
"3";"1";"562"
"1";"1";"370"
"1";"1";"226"
"11";"1";"3502"
"4";"1";"713"
"10";"1";"1788"
"2";"1";"581"
"4";"1";"692"
"20";"1";"3367"
"7";"1";"1397"
"35";"1";"5247"
"10";"1";"2369"
"3";"1";"1717"
"44";"1";"9094"
"12";"1";"2340"
"2";"1";"471"
"13";"1";"4731"
"1";"1";"1513"
"45";"1";"2608"
"3";"1";"683"
"1";"1";"508"
"1";"1";"641"
"1";"1";"351"
"57";"1";"8486"
"29";"1";"3583"
"1";"1";"578"
"39";"1";"6011"
"3";"1";"1124"
"13";"1";"1522"
"3";"1";"611"
"1";"1";"309"
"1";"1";"508"
"2";"1";"1037"
"2";"1";"1335"
"13";"1";"3847"
"1";"1";"296"
"1";"1";"423"
"12";"1";"2007"
"1";"0";"151"
"5";"1";"1306"
"2";"1";"1488"
"2";"1";"603"
"2";"1";"1101"
"9";"1";"1824"
"12";"1";"2104"
"5";"1";"780"
"3";"1";"911"
"31";"1";"3086"
"8";"1";"2067"
"1";"1";"676"
"4";"1";"1344"
"4";"1";"1518"
"1";"1";"774"
"14";"1";"3814"
"1";"0";"156"
"1";"0";"76"
"1";"0";"126"
"7";"1";"1309"
"1";"1";"290"
"3";"1";"827"
"19";"1";"4911"
"1";"1";"534"
"1";"1";"909"
"29";"1";"7703"
"17";"1";"3120"
"6";"1";"1464"
"2";"1";"304"
"11";"1";"2145"
"1";"1";"443"
"3";"1";"580"
"2";"0";"161"
"1";"0";"66"
"9";"1";"1711"
"2";"1";"1144"
"1";"1";"223"
"3";"1";"521"
"1";"0";"56"
"23";"1";"3430"
"11";"1";"2283"
"2";"1";"586"
"1";"0";"174"
"2";"1";"531"
"1";"0";"156"
"3";"1";"348"
"1";"0";"213"
"2";"1";"769"
"4";"1";"2566"
"1";"1";"563"
"2";"1";"253"
"1";"1";"222"
"1";"1";"269"
"4";"1";"626"
"7";"1";"1258"
"3";"1";"952"
"1";"0";"166"
"1";"0";"136"
"1";"0";"64"
"2";"1";"553"
"2";"1";"261"
"1";"0";"172"
"1";"0";"126"
"1";"1";"260"
"1";"0";"136"
"30";"1";"4547"
"1";"1";"396"
"1";"1";"238"
"6";"1";"641"
"24";"1";"2829"
"4";"1";"882"
"38";"1";"5317"
"4";"1";"537"
"1";"1";"226"
"1";"1";"418"
"1";"0";"86"
"1";"0";"156"
"1";"0";"86"
"1";"1";"251"
"1";"0";"126"
"2";"1";"702"
"1";"0";"168"
"1";"0";"113"
"1";"0";"146"
"1";"1";"236"
"1";"0";"56"
"79";"1";"7591"
"1";"1";"292"
"4";"1";"431"
"4";"1";"590"
"5";"1";"1332"
"1";"1";"221"
"1";"0";"196"
"1";"0";"89"
"1";"1";"238"
"3";"1";"781"
"5";"1";"916"
"2";"1";"261"
"24";"1";"3115"
"3";"1";"316"
"11";"1";"2087"
"8";"1";"911"
"2";"1";"341"
"2";"1";"356"
"2";"1";"541"
"1";"1";"480"
"1";"0";"206"
"60";"1";"7783"
"2";"1";"423"
"1";"1";"298"
"5";"1";"604"
"1";"0";"119"
"2";"1";"305"
"2";"1";"381"
"1";"0";"101"
"67";"1";"9339"
"205";"1";"17240"
"2";"1";"441"
"1";"0";"206"
"3";"1";"459"
"15";"1";"1849"
"1";"0";"166"
"9";"1";"1124"
"2";"0";"181"
"7";"1";"1064"
"16";"1";"1705"
"4";"1";"720"
"1";"1";"246"
"1";"0";"155"
"2";"1";"836"
"9";"1";"812"
"1";"0";"116"
"1";"1";"256"
"1";"0";"176"
"2";"1";"250"
"1";"0";"136"
"1";"0";"46"
"9";"1";"1534"
"1";"1";"456"
"1";"1";"252"
"87";"1";"11513"
"1";"0";"36"
"1";"1";"246"
"1";"0";"152"
"4";"1";"380"
"1";"0";"74"
"4";"1";"431"
"3";"1";"435"
"60";"1";"4652"
"4";"1";"678"
"2";"1";"270"
"1";"0";"146"
"1";"1";"1198"
"1";"1";"276"
"5";"1";"486"
"4";"1";"688"
"1";"1";"225"
"1";"1";"312"
"2";"0";"181"
"1";"0";"96"
"1";"0";"76"
"1";"0";"208"
"3";"1";"482"
"1";"0";"90"
"1";"0";"54"
"3";"1";"1053"
"5";"1";"521"
"18";"1";"3478"
"1";"0";"56"
"1";"0";"188"
"6";"1";"1314"
"1";"0";"46"
"1";"1";"266"
"1";"0";"94"
"2";"1";"379"
"1";"1";"324"
"2";"1";"264"
"1";"0";"106"
"5";"1";"1073"
"30";"1";"2303"
"3";"1";"575"
"1";"0";"66"
"1";"0";"146"
"1";"1";"295"
"1";"1";"393"
"1";"0";"24"
"2";"0";"157"
"2";"0";"91"
"1";"0";"66"
"1";"1";"476"
"1";"0";"153"
"1";"0";"146"
"1";"0";"161"
"1";"0";"205"
"1";"1";"305"
"8";"1";"709"
"3";"1";"300"
"1";"0";"11"
"1";"0";"113"
"3";"1";"346"
"1";"0";"180"
"1";"0";"139"
"10";"1";"1103"
"275";"1";"23153"
"5";"1";"455"
"1";"1";"438"
"3";"1";"362"
"4";"1";"508"
"1";"0";"146"
"5";"1";"974"
"3";"1";"324"
"2";"1";"244"
"1";"0";"163"
"1";"0";"121"
"1";"0";"126"
"5";"1";"452"
"1";"0";"26"
"1";"1";"295"
"22";"1";"4533"
"2";"1";"331"
"4";"1";"453"
"1";"1";"339"
"2";"0";"158"
"17";"1";"3923"
"92";"1";"10502"
"9";"1";"919"
"185";"1";"22684"
"3";"0";"166"
"1";"0";"36"
"20";"1";"2903"
"1";"0";"56"
"1";"0";"178"
"3";"1";"286"
"23";"1";"2491"
"3";"1";"353"
"2";"1";"293"
"19";"1";"1558"
"2";"0";"112"
"1";"0";"26"
"1";"0";"66"
"1";"0";"48"
"1";"1";"218"
"1";"1";"252"
"5";"1";"497"
"38";"1";"4267"
"1";"1";"390"
"32";"1";"3371"
"3";"1";"459"
"4";"1";"396"
"1";"0";"76"
"93";"1";"7383"
"176";"1";"22909"
"35";"1";"3125"
"2";"0";"191"
"2";"0";"141"
"2";"0";"105"
"6";"1";"536"
"6";"1";"651"
"1";"0";"154"
"16";"1";"1487"
"1";"0";"54"
"16";"1";"1011"
"2";"1";"441"
"1";"0";"80"
"7";"1";"746"
"1";"0";"216"
"1";"0";"190"
"4";"1";"789"
"1";"0";"166"
"5";"1";"556"
"1";"1";"328"
"1";"0";"197"
"2";"0";"181"
"2";"0";"115"
"1";"0";"186"
"2";"1";"313"
"1";"0";"106"
"6";"1";"550"
"1";"0";"146"
"1";"1";"348"
"1";"0";"66"
"1";"0";"156"
"3";"0";"146"
"8";"1";"739"
"1";"1";"339"
"39";"1";"2433"
"1";"0";"66"
"1";"0";"196"
"1";"0";"66"
"1";"0";"143"
"32";"1";"3897"
"1";"0";"108"
"1";"1";"263"
"1";"0";"36"
"5";"1";"478"
"22";"1";"1808"
"18";"1";"1429"
"1";"0";"32"
"1";"0";"138"
"1";"0";"56"
"4";"1";"399"
"1";"0";"181"
"1";"0";"136"
"1";"0";"149"
"13";"1";"1616"
"1";"1";"237"
"4";"1";"702"
"2";"1";"273"
"1";"0";"66"
"2";"1";"224"
"1";"0";"156"
"1";"0";"128"
"322";"1";"31001"
"8";"1";"1824"
"2";"1";"221"
"1";"0";"105"
"1";"0";"128"
"106";"1";"12148"
"1";"0";"58"
"1";"0";"136"
"2";"1";"221"
"1";"0";"86"
"1";"0";"86"
"1";"0";"176"
"2";"1";"301"
"1";"0";"184"
"7";"1";"576"
"2";"1";"416"
"1";"0";"191"
"1";"0";"146"
"1";"0";"46"
"1";"0";"159"
"1";"0";"66"
"1";"0";"31"
"1";"0";"36"
"2";"0";"181"
"1";"0";"121"
"1";"0";"52"
"4";"1";"607"
"1";"0";"56"
"2";"1";"416"
"37";"1";"3075"
"45";"1";"4751"
"1";"0";"206"
"52";"1";"4553"
"5";"1";"729"
"1";"0";"36"
"1";"0";"176"
"1";"0";"36"
"1";"0";"126"
"2";"0";"131"
"7";"1";"646"
"2";"1";"421"
"1";"1";"326"
"1";"0";"86"
"1";"0";"138"
"1";"0";"127"
"1";"0";"161"
"2";"1";"304"
"1";"1";"250"
"1";"0";"191"
"3";"0";"176"
"3";"1";"440"
"1";"0";"46"
"19";"1";"2493"
"1";"0";"176"
"1";"0";"66"
"1";"0";"195"
"1";"1";"267"
"7";"1";"608"
"6";"1";"764"
"1";"0";"26"
"72";"1";"6147"
"3";"1";"276"
"9";"1";"876"
"1";"1";"554"
"1";"0";"145"
"1";"0";"85"
"2";"0";"181"
"4";"1";"873"
"1";"0";"146"
"1";"0";"156"
"63";"1";"6008"
"2";"0";"151"
"1";"0";"36"
"1";"0";"90"
"2";"0";"109"
"1";"0";"76"
"2";"0";"163"
"25";"1";"2430"
"3";"1";"590"
"1";"0";"66"
"6";"1";"617"
"1";"0";"42"
"3";"1";"547"
"1";"0";"98"
"1";"0";"150"
"5";"1";"816"
"9";"1";"864"
"1";"0";"46"
"1";"0";"46"
"1";"0";"146"
"1";"0";"136"
"2";"1";"448"
"1";"0";"46"
"3";"0";"175"
"1";"0";"21"
"1";"0";"138"
"1";"1";"264"
"1";"0";"136"
"1";"0";"56"
"1";"0";"26"
"6";"1";"1090"
"3";"1";"613"
"1";"0";"124"
"1";"0";"197"
"1";"0";"75"
"3";"1";"256"
"22";"1";"2003"
"1";"1";"295"
"1";"0";"199"
"35";"1";"3783"
"1";"0";"194"
"1";"0";"16"
"1";"1";"423"
"1";"0";"67"
"1";"1";"356"
"1";"0";"132"
"1";"0";"56"
"1";"0";"56"
"1";"1";"591"
"1";"1";"259"
"1";"0";"76"
"1";"1";"298"
"45";"1";"5784"
"1";"0";"46"
"3";"1";"385"
"1";"0";"36"
"2";"1";"301"
"1";"1";"298"
"1";"0";"126"
"3";"1";"884"
"2";"1";"325"
"1";"0";"172"
"2";"0";"136"
"1";"0";"26"
"1";"1";"293"
"1";"0";"156"
"1";"0";"145"
"17";"1";"1336"
"7";"1";"720"
"1";"0";"206"
"3";"1";"1615"
"1";"1";"644"
"1";"0";"73"
"1";"0";"182"
"3";"0";"170"
"3";"1";"365"
"1";"0";"126"
"10";"1";"1278"
"3";"1";"428"
"1";"1";"404"
"1";"0";"178"
"1";"1";"596"
"1";"1";"266"
"1";"0";"108"
"19";"1";"2544"
"1";"0";"134"
"1";"0";"26"
"2";"1";"692"
"2";"1";"315"
"1";"0";"186"
"1";"0";"142"
"5";"1";"456"
"1";"0";"166"
"2";"0";"81"
"3";"0";"136"
"1";"0";"26"
"1";"0";"98"
"1";"0";"21"
"2";"1";"449"
"2";"0";"139"
"1";"0";"176"
"23";"1";"2475"
"1";"0";"66"
"1";"0";"36"
"1";"0";"26"
"1";"1";"321"
"1";"1";"427"
"1";"0";"53"
"226";"1";"26721"
"1";"0";"86"
"1";"1";"396"
"1";"0";"46"
"4";"1";"603"
"1";"1";"237"
"1";"0";"154"
"3";"0";"216"
"4";"1";"724"
"1";"0";"165"
"4";"1";"345"
"1";"1";"441"
"1";"1";"271"
"2";"0";"57"
"1";"0";"146"
"19";"1";"1408"
"1";"0";"183"
"1";"0";"50"
"1";"0";"36"
"11";"1";"1620"
"5";"1";"226"
"1";"0";"36"
"37";"1";"5867"
"1";"0";"87"
"1";"1";"281"
"1";"0";"66"
"1";"1";"291"
"1";"0";"46"
"1";"0";"216"
"1";"0";"146"
"15";"1";"1523"
"1";"0";"76"
"7";"1";"1124"
"1";"0";"71"
"1";"0";"174"
"2";"1";"401"
"4";"1";"432"
"13";"1";"2241"
"1";"1";"394"
"58";"1";"4410"
"1";"0";"61"
"16";"1";"2006"
"2";"1";"647"
"1";"0";"46"
"1";"1";"338"
"1";"0";"206"
"16";"1";"1501"
"1";"0";"166"
"3";"1";"324"
"1";"1";"235"
"1";"0";"36"
"1";"1";"405"
"2";"0";"191"
"3";"0";"144"
"1";"0";"98"
"1";"1";"360"
"3";"1";"716"
"5";"1";"548"
"1";"0";"46"
"1";"0";"48"
