"monthid";"tagname";"avgThreadLen";"hasExp"
"0";"human-biology";"7,0000";"1"
"1";"human-biology";"8,0000";"1"
"6";"dna";"14,5000";"1"
"6";"genetics";"10,6667";"1"
"6";"evolution";"10,1111";"1"
"6";"bioinformatics";"9,0000";"1"
"6";"molecular-biology";"8,6667";"1"
"6";"human-biology";"6,4286";"1"
"6";"biochemistry";"5,2500";"1"
"6";"bioinformatics";"5,0000";"0"
"6";"cell-biology";"3,5000";"1"
"6";"neuroscience";"3,5000";"1"
"6";"physiology";"1,6667";"1"
"7";"evolution";"10,0000";"1"
"7";"human-biology";"9,0938";"1"
"7";"biochemistry";"8,0000";"1"
"7";"dna";"6,7500";"1"
"7";"physiology";"5,0000";"1"
"7";"molecular-biology";"4,7273";"1"
"7";"cell-biology";"4,6667";"1"
"7";"bioinformatics";"4,0000";"1"
"7";"genetics";"3,8333";"1"
"7";"neuroscience";"3,6364";"1"
"8";"evolution";"9,2000";"1"
"8";"genetics";"8,0000";"1"
"8";"bioinformatics";"6,3333";"1"
"8";"dna";"6,2000";"1"
"8";"physiology";"5,3333";"1"
"8";"human-biology";"5,3000";"1"
"8";"cell-biology";"5,0000";"1"
"8";"biochemistry";"4,2500";"1"
"8";"molecular-biology";"4,0000";"1"
"8";"neuroscience";"3,3333";"1"
"8";"human-biology";"1,0000";"0"
"9";"evolution";"10,2857";"1"
"9";"molecular-biology";"8,0000";"1"
"9";"human-biology";"7,4667";"1"
"9";"dna";"5,5000";"1"
"9";"physiology";"4,7500";"1"
"9";"bioinformatics";"4,3333";"1"
"9";"biochemistry";"4,0000";"1"
"9";"cell-biology";"3,0000";"1"
"9";"neuroscience";"2,0000";"1"
"9";"physiology";"1,0000";"0"
"9";"human-biology";"1,0000";"0"
"10";"physiology";"11,3333";"1"
"10";"cell-biology";"9,0000";"1"
"10";"evolution";"7,7273";"1"
"10";"human-biology";"7,0000";"1"
"10";"dna";"7,0000";"1"
"10";"bioinformatics";"5,3333";"1"
"10";"molecular-biology";"5,0000";"1"
"10";"genetics";"3,2500";"1"
"10";"neuroscience";"3,1667";"1"
"10";"biochemistry";"2,8333";"1"
"10";"neuroscience";"1,0000";"0"
"11";"evolution";"12,1538";"1"
"11";"dna";"7,8333";"1"
"11";"human-biology";"7,0000";"1"
"11";"biochemistry";"6,7500";"1"
"11";"bioinformatics";"6,7500";"1"
"11";"genetics";"5,9000";"1"
"11";"neuroscience";"4,6667";"1"
"11";"molecular-biology";"4,0000";"1"
"11";"cell-biology";"3,0000";"1"
"11";"molecular-biology";"1,0000";"0"
"12";"molecular-biology";"8,0000";"1"
"12";"evolution";"7,7692";"1"
"12";"neuroscience";"7,0000";"1"
"12";"human-biology";"6,7778";"1"
"12";"physiology";"6,7500";"1"
"12";"genetics";"6,0833";"1"
"12";"biochemistry";"4,6667";"1"
"12";"dna";"4,2500";"1"
"12";"cell-biology";"2,6000";"1"
"12";"bioinformatics";"2,5000";"1"
