Source;Target;Type;id;label;timeset;weight;relation
5851;4747;Directed;0;;;1.0;1.0
6455;6455;Directed;1;;;3.0;0.0
8176;3971;Directed;2;;;2.0;2.0
10054;10054;Directed;3;;;3.0;0.0
4852;4852;Directed;4;;;1.0;0.0
8517;6061;Directed;5;;;1.0;1.0
16414;4108;Directed;6;;;1.0;2.0
1916;1182;Directed;7;;;1.0;1.0
19350;19406;Directed;8;;;1.0;0.0
1675;112;Directed;9;;;1.0;2.0
16730;4108;Directed;10;;;2.0;1.0
8423;4109;Directed;11;;;1.0;2.0
3703;6845;Directed;12;;;1.0;2.0
5144;6607;Directed;13;;;3.0;2.0
4087;4087;Directed;14;;;1.0;0.0
948;1917;Directed;15;;;1.0;1.0
4108;3382;Directed;16;;;1.0;1.0
6665;9943;Directed;17;;;1.0;2.0
3632;3169;Directed;18;;;1.0;2.0
3632;3164;Directed;19;;;1.0;2.0
1176;389;Directed;20;;;1.0;1.0
243;19822;Directed;21;;;1.0;0.0
6099;3340;Directed;22;;;1.0;2.0
23472;3553;Directed;23;;;1.0;2.0
8186;1195;Directed;24;;;1.0;1.0
6136;13496;Directed;25;;;1.0;1.0
816;15321;Directed;26;;;1.0;1.0
4503;1578;Directed;27;;;2.0;1.0
5144;6617;Directed;28;;;1.0;2.0
8516;11841;Directed;29;;;2.0;2.0
535;738;Directed;30;;;2.0;2.0
16326;16326;Directed;31;;;7.0;1.0
3141;2938;Directed;32;;;1.0;1.0
14636;5018;Directed;33;;;1.0;1.0
21686;9943;Directed;34;;;1.0;2.0
14932;14932;Directed;35;;;6.0;0.0
8182;4108;Directed;36;;;1.0;2.0
16468;16468;Directed;37;;;6.0;0.0
13102;3340;Directed;38;;;1.0;2.0
20909;3624;Directed;39;;;2.0;2.0
5148;19073;Directed;40;;;2.0;1.0
923;4101;Directed;41;;;1.0;2.0
839;1609;Directed;42;;;1.0;1.0
9471;1590;Directed;43;;;2.0;1.0
15799;15799;Directed;44;;;1.0;0.0
23472;23472;Directed;45;;;1.0;0.0
4503;1590;Directed;46;;;2.0;1.0
3269;389;Directed;47;;;1.0;2.0
3615;4696;Directed;48;;;1.0;2.0
4101;5144;Directed;49;;;3.0;1.0
13072;238;Directed;50;;;1.0;1.0
15429;15429;Directed;51;;;2.0;0.0
18818;17496;Directed;52;;;1.0;0.0
5700;8179;Directed;53;;;1.0;1.0
14887;6307;Directed;54;;;3.0;2.0
16829;1590;Directed;55;;;1.0;2.0
17617;4747;Directed;56;;;1.0;1.0
21354;5144;Directed;57;;;1.0;2.0
152;8809;Directed;58;;;1.0;1.0
21341;4108;Directed;59;;;2.0;2.0
9762;3340;Directed;60;;;1.0;2.0
3632;3173;Directed;61;;;1.0;2.0
883;3632;Directed;62;;;1.0;1.0
9572;4747;Directed;63;;;1.0;2.0
3632;3119;Directed;64;;;1.0;1.0
14615;9523;Directed;65;;;1.0;2.0
4016;4108;Directed;66;;;1.0;2.0
17597;20536;Directed;67;;;1.0;0.0
6314;1306;Directed;68;;;1.0;1.0
15018;3340;Directed;69;;;1.0;2.0
172;806;Directed;70;;;1.0;1.0
408;1590;Directed;71;;;2.0;1.0
22459;13067;Directed;72;;;1.0;0.0
5304;5762;Directed;73;;;1.0;2.0
5144;6644;Directed;74;;;3.0;2.0
14616;14932;Directed;75;;;2.0;0.0
1200;4747;Directed;76;;;1.0;2.0
3632;5784;Directed;77;;;1.0;1.0
3615;4674;Directed;78;;;2.0;2.0
1099;806;Directed;79;;;1.0;1.0
1488;1122;Directed;80;;;1.0;2.0
8918;6602;Directed;81;;;2.0;1.0
15623;16326;Directed;82;;;1.0;2.0
8517;8697;Directed;83;;;1.0;2.0
540;5784;Directed;84;;;2.0;1.0
8733;3952;Directed;85;;;1.0;2.0
1061;1122;Directed;86;;;1.0;1.0
152;8865;Directed;87;;;1.0;2.0
15272;15695;Directed;88;;;3.0;1.0
5700;8143;Directed;89;;;1.0;2.0
8014;14552;Directed;90;;;1.0;1.0
13346;3340;Directed;91;;;1.0;2.0
1427;3632;Directed;92;;;4.0;1.0
19454;19770;Directed;93;;;1.0;2.0
20286;16651;Directed;94;;;1.0;2.0
20676;20565;Directed;95;;;1.0;2.0
8588;8596;Directed;96;;;1.0;0.0
1838;1472;Directed;97;;;1.0;1.0
9036;16651;Directed;98;;;1.0;1.0
19818;4108;Directed;99;;;1.0;1.0
21541;5144;Directed;100;;;1.0;2.0
5700;8149;Directed;101;;;2.0;1.0
19818;4109;Directed;102;;;1.0;1.0
13023;5198;Directed;103;;;1.0;2.0
15957;9943;Directed;104;;;2.0;2.0
18858;19521;Directed;105;;;1.0;2.0
808;1050;Directed;106;;;1.0;0.0
5144;6664;Directed;107;;;1.0;2.0
16581;3340;Directed;108;;;2.0;2.0
6455;6428;Directed;109;;;1.0;0.0
14587;13292;Directed;110;;;1.0;2.0
1224;1486;Directed;111;;;1.0;1.0
99;115;Directed;112;;;2.0;1.0
20256;19277;Directed;113;;;1.0;2.0
4461;4101;Directed;114;;;1.0;2.0
6179;15097;Directed;115;;;2.0;2.0
1667;4025;Directed;116;;;2.0;1.0
4579;5369;Directed;117;;;2.0;1.0
822;3578;Directed;118;;;1.0;2.0
1526;1526;Directed;119;;;1.0;0.0
3632;5799;Directed;120;;;1.0;2.0
2990;3632;Directed;121;;;1.0;2.0
5148;19018;Directed;122;;;1.0;2.0
14843;10104;Directed;123;;;1.0;2.0
8116;8116;Directed;124;;;1.0;0.0
3624;6072;Directed;125;;;1.0;2.0
